[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:13] session_id: silent_feather_af76
[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:17] [188]: reward=1.0, ep_return=188.0, root_visits=40, root_mean=19.650, best_q=19.897
[2026-01-08 15:22:17] [189]: reward=1.0, ep_return=189.0, root_visits=40, root_mean=18.025, best_q=18.282
[2026-01-08 15:22:17] [190]: reward=1.0, ep_return=190.0, root_visits=40, root_mean=16.050, best_q=16.206
[2026-01-08 15:22:17] [191]: reward=1.0, ep_return=191.0, root_visits=40, root_mean=16.750, best_q=17.216
[2026-01-08 15:22:17] [192]: reward=1.0, ep_return=192.0, root_visits=40, root_mean=16.450, best_q=16.641
[2026-01-08 15:22:17] [193]: reward=1.0, ep_return=193.0, root_visits=40, root_mean=19.800, best_q=20.111
[2026-01-08 15:22:17] [194]: reward=1.0, ep_return=194.0, root_visits=40, root_mean=16.275, best_q=16.216
[2026-01-08 15:22:17] [195]: reward=1.0, ep_return=195.0, root_visits=40, root_mean=19.725, best_q=19.949
[2026-01-08 15:22:17] [196]: reward=1.0, ep_return=196.0, root_visits=40, root_mean=16.650, best_q=16.846
[2026-01-08 15:22:17] [197]: reward=1.0, ep_return=197.0, root_visits=40, root_mean=17.350, best_q=17.564
[2026-01-08 15:22:17] [198]: reward=1.0, ep_return=198.0, root_visits=40, root_mean=19.600, best_q=19.769
[2026-01-08 15:22:17] [199]: reward=1.0, ep_return=199.0, root_visits=40, root_mean=17.150, best_q=17.231
[2026-01-08 15:22:17] [200]: reward=1.0, ep_return=200.0, root_visits=40, root_mean=17.975, best_q=18.128
[2026-01-08 15:22:17] [201]: reward=1.0, ep_return=201.0, root_visits=40, root_mean=15.875, best_q=16.294
[2026-01-08 15:22:17] [202]: reward=1.0, ep_return=202.0, root_visits=40, root_mean=17.200, best_q=17.316
[2026-01-08 15:22:17] [203]: reward=1.0, ep_return=203.0, root_visits=40, root_mean=16.800, best_q=16.923
[2026-01-08 15:22:17] [204]: reward=1.0, ep_return=204.0, root_visits=40, root_mean=16.650, best_q=16.789
[2026-01-08 15:22:17] [205]: reward=1.0, ep_return=205.0, root_visits=40, root_mean=17.575, best_q=17.667
[2026-01-08 15:22:17] [206]: reward=1.0, ep_return=206.0, root_visits=40, root_mean=17.900, best_q=18.103
[2026-01-08 15:22:17] [207]: reward=1.0, ep_return=207.0, root_visits=40, root_mean=18.675, best_q=18.897
[2026-01-08 15:22:17] [208]: reward=1.0, ep_return=208.0, root_visits=40, root_mean=16.800, best_q=17.219
[2026-01-08 15:22:17] [209]: reward=1.0, ep_return=209.0, root_visits=40, root_mean=19.725, best_q=19.846
[2026-01-08 15:22:17] [210]: reward=1.0, ep_return=210.0, root_visits=40, root_mean=16.750, best_q=16.821
[2026-01-08 15:22:17] [211]: reward=1.0, ep_return=211.0, root_visits=40, root_mean=16.125, best_q=16.359
[2026-01-08 15:22:17] [212]: reward=1.0, ep_return=212.0, root_visits=40, root_mean=17.075, best_q=17.256
